iyear,nkill,eventid
1970,0.0,2
1970,1.0,5
1970,2.0,2
1970,3.0,2
1970,5.0,1
1971,0.0,2
1971,1.0,67
1971,2.0,8
1971,3.0,1
1971,4.0,1
1971,5.0,1
1971,15.0,1
1972,0.0,1
1972,1.0,244
1972,2.0,23
1972,3.0,6
1972,4.0,1
1972,5.0,1
1972,6.0,1
1972,7.0,4
1972,8.0,1
1972,9.0,1
1973,0.0,4
1973,1.0,158
1973,2.0,16
1973,3.0,3
1973,5.0,1
1973,6.0,1
1974,0.0,28
1974,1.0,145
1974,2.0,23
1974,5.0,1
1974,6.0,1
1974,10.5,2
1974,12.0,1
1975,0.0,9
1975,1.0,141
1975,2.0,22
1975,3.0,7
1975,4.0,2
1975,5.0,5
1975,6.0,1
1976,0.0,3
1976,1.0,150
1976,2.0,24
1976,3.0,11
1976,4.0,3
1976,5.0,1
1976,6.0,1
1976,10.0,1
1977,0.0,45
1977,1.0,85
1977,2.0,6
1977,3.0,2
1978,0.0,38
1978,1.0,46
1978,2.0,7
1978,3.0,1
1978,4.0,1
1978,14.0,1
1979,0.0,77
1979,1.0,71
1979,2.0,11
1979,4.0,4
1979,6.0,1
1979,18.0,1
1980,0.0,62
1980,1.0,66
1980,2.0,3
1980,3.0,2
1980,37.0,1
1981,0.0,50
1981,1.0,71
1981,2.0,5
1981,5.0,1
1982,0.0,30
1982,1.0,49
1982,2.0,6
1982,3.0,4
1982,6.0,1
1982,16.0,1
1983,0.0,91
1983,1.0,53
1983,2.0,6
1983,3.0,1
1983,4.0,1
1983,5.0,1
1984,0.0,75
1984,1.0,44
1984,2.0,9
1984,3.0,1
1984,4.0,1
1985,0.0,24
1985,1.0,30
1985,2.0,4
1985,4.0,2
1985,9.0,2
1986,0.0,41
1986,1.0,47
1986,2.0,5
1986,3.0,2
1987,0.0,44
1987,1.0,62
1987,2.0,8
1987,3.0,2
1987,9.0,1
1987,11.0,1
1988,0.0,111
1988,1.0,53
1988,2.0,8
1988,3.0,5
1988,4.0,1
1988,6.0,1
1988,8.0,1
1988,270.0,1
1989,0.0,116
1989,1.0,39
1989,2.0,5
1989,3.0,2
1989,11.0,1
1990,0.0,89
1990,1.0,50
1990,2.0,3
1990,3.0,1
1990,4.0,3
1990,5.0,1
1991,0.0,192
1991,1.0,58
1991,2.0,7
1991,3.0,4
1991,4.0,1
1992,0.0,201
1992,1.0,65
1992,2.0,3
1992,3.0,2
1992,4.0,1
1992,5.0,1
1992,8.0,1
1994,0.0,201
1994,1.0,47
1994,2.0,5
1994,3.0,1
1994,6.0,1
1995,0.0,11
1995,1.0,11
1996,0.0,23
1996,1.0,12
1996,2.0,1
1997,0.0,48
1997,1.0,21
1997,2.0,1
1998,0.0,48
1998,1.0,12
1998,2.0,1
1998,3.0,1
1998,29.0,1
1999,0.0,69
1999,1.0,5
1999,2.0,1
2000,0.0,55
2000,1.0,5
2000,2.0,1
2001,0.0,87
2001,1.0,6
2001,2.0,1
2002,0.0,19
2002,1.0,2
2003,0.0,22
2003,2.0,1
2004,0.0,5
2005,0.0,20
2005,1.0,1
2005,7.0,1
2005,8.0,1
2005,14.0,1
2005,27.0,1
2006,0.0,6
2007,0.0,17
2007,1.0,2
2007,2.0,1
2008,0.0,39
2009,0.0,20
2009,1.0,1
2009,2.0,1
2010,0.0,57
2011,0.0,46
2011,1.0,1
2012,0.0,50
2012,1.0,1
2013,0.0,133
2013,1.0,4
2014,0.0,103
2015,0.0,114
2015,1.0,1
